content,score,sentimen,content_clean
Tokopedia saat membantu disaat perekonomianku lagi tidak tentu 😭 semoga Tokopedia semakin sukses,5,positif,tokopedia membantu disaat perekonomianku semoga tokopedia sukses
"buruk sekalih apknya. harga lebih mahal dari apk lain, promo pengguna baru juga ngak bisa di gunakan🤬🤬🤬🤬",1,negatif,buruk sekalih apknya harga mahal apk promo pengguna ngak
good,5,positif,good
tolong di peringankan sedikit apknya,5,positif,tolong peringankan apknya
sangat bagus,5,positif,bagus
Mau beli kok diskonnya malah hilang?,1,negatif,beli diskonnya hilang
udh psan brang tapi ga dtng' padahal udh bayar tetep aja ga dtng' dan ga ada di list pesanan ny,1,negatif,udh psan brang ga dtng udh bayar tetep aja ga dtng ga list pesanan ny
saya mau refund tapi solusinya lelet banget,1,negatif,refund solusinya lelet banget
"wah parah Tokopedia rusak, padahal promo nya bisa dipakai, tapi pas waktu bayar nya malah tulisan promo tidak berlaku, wah parah ini,, apk tidak rekomended buat blanja ges, jangan sampai kayak aku ges, moga aja adminnya sadar kalau apk ini dah ga ngotak, ayo notice para ulasan ini banyak yang terjadi kayak gini, ah mending' shopee, uy, ternyata banyak juga yang ngalamin gini hadeh, ko bisa dapet rating bagus",1,negatif,parah tokopedia rusak promo nya dipakai pas bayar nya tulisan promo berlaku parah apk rekomended blanja ges kayak ges moga aja adminnya sadar apk dah ga ngotak ayo notice ulasan kayak gini ah mending shopee uy ngalamin gini hadeh ko dapet rating bagus
Belakangan ini server sering error!,3,netral,server error
Semoga makin di mudahkan,5,positif,semoga mudahkan
perah tokopedia care buat komplen barang pengembalian dana tidak sesuai hrga satuan 670x60 dikembalikan dana refund cma 670 perak,1,negatif,perah tokopedia care komplen barang pengembalian dana sesuai hrga satuan x dikembalikan dana refund cma perak
beli instan ternyata tokopedia ga tanggung jawab. jdi barang ga datang mereka ga salah. jadi jika pesan pagi jam 21:00 baru batal. di chat malah seperti ga salah. orang sudah nunggu seharian krna urgent tahan pesan instan yg lebih mahal dari harga barang yg di beli tapi. ga ada tindak lanjut ataupun minta maaf. seperti ga ada salah. di diamkan bebas aja aplikasi penipu emang kerja sama dengan penipu. saya ada bukti chat dengan livechat bahkan 3 org livechat. udh kya situs slot ga tanggung jwb.,1,negatif,beli instan tokopedia ga tanggung jdi barang ga ga salah pesan pagi jam batal chat ga salah orang nunggu seharian krna urgent tahan pesan instan yg mahal harga barang yg beli ga tindak maaf ga salah diamkan bebas aja aplikasi penipu emang kerja penipu bukti chat livechat org livechat udh kya situs slot ga tanggung jwb
belanja disini produk nya selalu sesuai,5,positif,belanja produk nya sesuai
aplikasi nya bagus banget saya suka sama ini aplikasi baguss baguss 👍👍👍👍👍,5,positif,aplikasi nya bagus banget suka aplikasi baguss baguss
BAGUSSSS BANGETT,5,positif,bagussss bangett
kasih pocer pengguna baru tapi vocernya g bisa di pake gimana sih konsepnya apl rusak,1,negatif,kasih pocer pengguna vocernya g pake gimana sih konsepnya apl rusak
"aku di tiktok co 630an k padahal saldo gopayku 669k tapi tulisannya ga cukupp, gabisa bayar pake gopay padahal baru aja top up",1,negatif,tiktok co an k saldo gopayku k tulisannya ga cukupp gabisa bayar pake gopay aja top up
good,5,positif,good
"murah dan mudah transaksi,juga aman",5,positif,murah mudah transaksijuga aman
jadi super lemot,2,negatif,super lemot
bagus,4,positif,bagus
refund saldo tidak masuk ke rekening! proses masuk ke rekening sangat lama tidak rekomen,1,negatif,refund saldo masuk rekening proses masuk rekening rekomen
hampir semua toko di Tokopedia admin toko nya slowrespon.. gak niat jualan. bikin kapok. gak kayak toko si orange,3,netral,toko tokopedia admin toko nya slowrespon gak niat jualan bikin kapok gak kayak toko si orange
ok,5,positif,ok
"mau tarik saldo kok ribet amat y,minta apk d perbarui tp sdh d perbarui masih tidak bisa,dan lewat gopay jg ngk bisa,bintang satu dulu kalau sdh bisa baru tmbh bintang lagi",1,negatif,tarik saldo ribet yminta apk d perbarui tp sdh d perbarui bisadan gopay jg ngk bisabintang sdh tmbh bintang
mantap,5,positif,mantap
bagus hanya kenapa ya topup ke gopay selalu gagal,5,positif,bagus ya topup gopay gagal
banyak program penipuan yg dilakukan Tokopedia sendiri melalui sistem nya adalah program plus paling rawan merugikan pelanggan kenapa demikian setelah berlangganan dengan biaya 150.000 kita mendapatkan benefit berupa voucher dan ternyata voucher tersebut tidak bisa dipakai nya !!! dengan alasan limit/ SDH mencapai pemakaian!! misal baru se kali menggunakan nya itu SDH TDK bisa lagi digunakan!! ini MNRT saya cuma jebagan Tokopedia agar dpt utg LBH dari jual beli program yg syarat mengecewakan !!,1,negatif,program penipuan yg tokopedia sistem nya program plus rawan merugikan pelanggan berlangganan biaya benefit voucher voucher dipakai nya alasan limit sdh mencapai pemakaian kali nya sdh tdk mnrt jebagan tokopedia dpt utg lbh jual beli program yg syarat mengecewakan
diskon lagi dong mas,5,positif,diskon mas
gajelas anjr kalo ada voucer kaga berlaku aja gabisa di gunain terus fungsinya tuh voucer buat apa kalo gua gamake emng gimick bngt dah lu Tokopedia,1,negatif,gajelas anjr kalo voucer kaga berlaku aja gabisa gunain fungsinya tuh voucer kalo gua gamake emng gimick bngt dah lu tokopedia
"Beli ga bisa malah diskonnya hilang, untung ga kepencet bayar",1,negatif,beli ga diskonnya hilang untung ga kepencet bayar
"sebenarnya ni aplikasi bisa dikasi rating 5 karena mesen bisa cod dan bahkan batu sadar bisa pake DANA,tapi masalahnya kadang ada aja error aneh seperti saat mengganti foto profil akun dan bahkan edit ulang ulasan,plz lah perbaiki tokopedia",3,netral,ni aplikasi dikasi rating mesen cod batu sadar pake danatapi kadang aja error aneh mengganti foto profil akun edit ulang ulasanplz perbaiki tokopedia
"barang²nya masih terlalu mahal² ogkirnya jg mahal , perbaiki min nanti sya ralat lagi bintangnya...",3,netral,barang²nya mahal² ogkirnya jg mahal perbaiki min sya ralat bintangnya
mudah n banyak promo,5,positif,mudah n promo
"salah apa coba, akun gw gk bisa dihapus. gw udah laporin tapi penangannya lambat banget. katanya gara2 pake kartu kredit, masalahnya pihak bank aja gk ada konfirmasi atau kasih info kalo kartu kredit gw disalah gunakan. gw pake CC ya buat bayar belanjaan gw. ini akun Tokped malah dibaned, lama pula buat unbanednya. mending pindah ke oren aja dah",1,negatif,salah coba akun gw gk dihapus gw udah laporin penangannya lambat banget gara pake kartu kredit bank aja gk konfirmasi kasih info kalo kartu kredit gw disalah gw pake cc ya bayar belanjaan gw akun tokped dibaned unbanednya mending pindah oren aja dah
"apk jelek, iklannya pengguna baru discont 99% , pas di download vouchernya gak bisa dipake, jelek banget....",1,negatif,apk jelek iklannya pengguna discont pas download vouchernya gak dipake jelek banget
Tidak bisa pakai promo pengguna baru,1,negatif,pakai promo pengguna
kok GK bisa cek out barangnya,1,negatif,gk cek out barangnya
Tokopedia sudah mulai berbenah. ongkir murah plus fitur cod di aktifkan.,5,positif,tokopedia berbenah ongkir murah plus fitur cod aktifkan
"jelek banget pilih epedisinya,kiriman kulir sampai gagal 5x gimana,barang bolak balik aja ketempat transit gudang payah meningan dishoppe",1,negatif,jelek banget pilih epedisinyakiriman kulir gagal x gimanabarang bolak aja ketempat transit gudang payah meningan dishoppe
harga yang di cantumin diluar tidak sesuai dengan pas mau di co.. jadi males ke apk ini sekarang,1,negatif,harga cantumin diluar sesuai pas co males apk
mantap,5,positif,mantap
jangan belanja di sini para bocil kaya gw kalo pesanan kalian yg mahal itu di batalin duit kalian gk bakal balik harus di belanjain di toko Haram ini kalo mau di balikin duit kita kita harus punya bank account Dan ktp kan kita kita mah bocil gk punya ktp,1,negatif,belanja bocil kaya gw kalo pesanan yg mahal batalin duit gk belanjain toko haram kalo balikin duit bank account ktp mah bocil gk ktp
saya suka,5,positif,suka
good job,5,positif,good job
selalu tingkatkan mutu pelayansn,5,positif,tingkatkan mutu pelayansn
jangan pakai apk Tokopedia penipu sudah 6 hari kerja tarik saldo refund saya belum di kirim ke rekening !.,1,negatif,pakai apk tokopedia penipu kerja tarik saldo refund kirim rekening
"berguna banget ,banyak banget diskon nya ,wajib download sihh ini",5,positif,berguna banget banget diskon nya wajib download sihh
good luck for all team Tokopedia,5,positif,good luck for all team tokopedia
"Mulai ada banyak kendala & bug, whistlist error.",3,netral,kendala bug whistlist error
keren,5,positif,keren
Tokopedia harus selektif memilih penjual ini banyak toko dari aplikasi sebelah yang menyesatkan menyusahkan pembeli. Ini perang dagang bukan perang paket data atau WiFi,5,positif,tokopedia selektif memilih penjual toko aplikasi sebelah menyesatkan menyusahkan pembeli perang dagang perang paket data wifi
"beberapa kurir ekspedisi yg di pakai beberapa toko gak beres udah beberapa kali barang sampe nya kemana gak sampe ke saya tapi diselesaikan,, gak ngehubungin,, apa gak nanya kli alamat udah jelas bangat jadi males klo gini pake tokopedia,, tokped gak jelas alamat gua di aplikasi di Pejaten timur barang gua di bikin alamat Pejaten barat udah sering gak sampe",1,negatif,kurir ekspedisi yg pakai toko gak beres udah kali barang sampe nya kemana gak sampe diselesaikan gak ngehubungin gak nanya kli alamat udah bangat males klo gini pake tokopedia tokped gak alamat gua aplikasi pejaten timur barang gua bikin alamat pejaten barat udah gak sampe
phk massal tokopedia 90%,1,negatif,phk massal tokopedia
apk konyol gak bisa beli barang setiap beli barang gak bisa di proses apk konyoll burukk sekali,1,negatif,apk konyol gak beli barang beli barang gak proses apk konyoll burukk
good metode pembayaran lengkap,5,positif,good metode pembayaran lengkap
terimakasih tokopedia. sangat membantu sekali...,5,positif,terimakasih tokopedia membantu
akun saya lama lama GK jelas di banding akun baru mending akun baru tapi akun Ama banyak invoice nya dulu akun saya masih bisa dapat langganan plus sekarang malah hilang sedangkan akun kakak ibu adek semua ada rasanya pengen ku hapus ajak akun ku tapi nanti hilang semua invoice nya ada saran GK?,5,positif,akun gk banding akun mending akun akun ama invoice nya akun langganan plus hilang akun kakak adek pengen ku hapus ajak akun ku hilang invoice nya saran gk
voucher ga bisa di pake,1,negatif,voucher ga pake
aplikasi terbaik yeay,5,positif,aplikasi terbaik yeay
Baik bangetttt,5,positif,bangetttt
gimana ini solusinya saya mau co ko nggak bisa tolol,1,negatif,gimana solusinya co ko nggak tolol
"kalau di shopee ga bisa daftar, kalau di sini ga bisa checkout, oops oops Mulu dah notifikasinya",2,negatif,shopee ga daftar ga checkout oops oops mulu dah notifikasinya
pesanan sangat lambat,1,negatif,pesanan lambat
voucher pengguna baru g bisa di pakai bisa nya pakai voucher yang diskon 3%,1,negatif,voucher pengguna g pakai nya pakai voucher diskon
"maaf bintangnya saya kurangin,karena akhir akhir ini tokped jadi sering hang, aplikasi nya jadi berat,padahal tadinya aplikasi ini paling recomended.. agak sedikit kecewa jadinya..",4,positif,maaf bintangnya kuranginkarena tokped hang aplikasi nya beratpadahal aplikasi recomended kecewa
"harga yang tertera belum update, jadi sering refund, banyak yang gak gelas tokonya chat gak pernah di balas. sepertinya banyak toko booth",1,negatif,harga tertera update refund gak gelas tokonya chat gak balas toko booth
kritik : hati2 aurat perempuan dalam foto aplikasinya di playstore,5,positif,kritik hati aurat perempuan foto aplikasinya playstore
apa apaan ini sy cari cerutu katanya tidak tersedia untuk android sekalinya pake ipong bisa😭😭 emang yg pake android Ndak punya uang apa min😭😭😭 tolong dong admin jangan di beda bedakan antara costumer kita bukannya Ndak bisa beli Ipong cuma Ndak mau beli aja 😭 kasih solusi dong admin biar sy bisa menikmati waktu liburan saya 😭😭😭,1,negatif,sy cari cerutu tersedia android sekalinya pake ipong emang yg pake android ndak uang min tolong admin beda bedakan costumer ndak beli ipong ndak beli aja kasih solusi admin biar sy menikmati liburan
"bodo banget, repot banget sih sekarang penarikan saldo aja kudu pake ktp, setelah verif ktp harus sama pula banknya sama yang di ktp nihh gua pake ktp sendiri itu penarikan saldo lewat bank ortu gua! dongo gabisa terus",1,negatif,bodo banget repot banget sih penarikan saldo aja kudu pake ktp verif ktp banknya ktp nihh gua pake ktp penarikan saldo bank ortu gua dongo gabisa
"pembelian gagal, dana di kembalikan ke saldo, tp tidak bisa digunakan untuk pembelian yg lain, di tarik proses muter2 lemot, parah..",1,negatif,pembelian gagal dana kembalikan saldo tp pembelian yg tarik proses muter lemot parah
bagus,5,positif,bagus
oke,4,positif,oke
desain UI nya cantik jelita ya kaya kembang desa ( aku maksudnya ) 😂,5,positif,desain ui nya cantik jelita ya kaya kembang desa maksudnya
perbanyak diskon nya,5,positif,perbanyak diskon nya
mantap,5,positif,mantap
Semua sudah baik. Akan tetapi untuk pengembalian dana dari orderan yang di batalkan toko harusnya cepat.,4,positif,pengembalian dana orderan batalkan toko cepat
okee,5,positif,okee
ayo bapak ibu Kaka gunakan e-commerce tokopedia dan tiktok shop jangan lupa klaim bonus nya dari layanan pusat tiktok shop dan Tokopedia selamat berbelanja,5,positif,ayo kaka ecommerce tokopedia tiktok shop lupa klaim bonus nya layanan pusat tiktok shop tokopedia selamat berbelanja
Oke,5,positif,oke
bagus banget murah,5,positif,bagus banget murah
"ntah knp selalu ada aja drama nya kalau belanja di app ini, udh mau check out pake voucher malah ada eror dan voucher nya sudah tidak bisa di pakai kembali",1,negatif,ntah knp aja drama nya belanja app udh check out pake voucher eror voucher nya pakai
nice,5,positif,nice
muantap,5,positif,muantap
sekarang makin banyak toko tidak jelas di Tokopedia. bikin orang malas,1,negatif,toko tokopedia bikin orang malas
"apk nya ngeleg parahh,mana vocer nya ga bisa di gunain padalah udah verifikasi masih aja sama ga bisa di pakai, tolong perbaiki lagi sistemnya biar ga deley, sama cs nya juga benerin nanya apa di jawab apa ngaco bener, udah segitu doang terimakasih.mohon di perhatikan lagi apk nya",1,negatif,apk nya ngeleg parahhmana vocer nya ga gunain padalah udah verifikasi aja ga pakai tolong perbaiki sistemnya biar ga deley cs nya benerin nanya ngaco bener udah segitu doang terimakasihmohon perhatikan apk nya
"tutup aja Tokopedia, sejak diakuisisi sama tiktok kok langganan plusnya dihapus, mending tutup aja lu",1,negatif,tutup aja tokopedia diakuisisi tiktok langganan plusnya dihapus mending tutup aja lu
mantap,5,positif,mantap
Mantap,5,positif,mantap
pengiriman nya ga pernah nyampe krmhhh imingg imingg pengguna baru sma aja ga kirimm,1,negatif,pengiriman nya ga nyampe krmhhh imingg imingg pengguna sma aja ga kirimm
"semoga lebih mudah belanja di Toped, dan aman pastinya.",5,positif,semoga mudah belanja toped aman pastinya
kenapa sii per juli ini tokped susah bgt masuk ke beranda nya nyari brg juga susah ket nya rumah toped tdk tersedia gtu truss,3,netral,sii juli tokped susah bgt masuk beranda nya nyari brg susah ket nya rumah toped tdk tersedia gtu truss
"untuk developer tokped ini kenapa sih apk nya,saya sudah beberapa kali mau co disni tetep gabisa di co,setiap mau di co pasti ada tulisan ""Oops terjadi kendala, transaksi tidak dapat di proses"" mesti gitu!! lgian kenapa sih kesel aja gitu mau co gitu,ini saya masih ada hati ga ngasih ratting satu yh,tolong lah diperperbaiki lagi apk nya.",2,negatif,developer tokped sih apk nyasaya kali co disni tetep gabisa cosetiap co tulisan oops kendala transaksi proses mesti gitu lgian sih kesel aja gitu co gituini hati ga ngasih ratting yhtolong diperperbaiki apk nya
"kenapa balik dana return nya lama banget,GK kayak di shopee/tiktok shop GK smpai sehari udh nyampek,tokped lama,SDH hmpir 1minggu GK balik juga,ktnya tunggu barang sampai,barang SDH sampai di tujuan dana juga blm balik balik juga 😔🤦",2,negatif,dana return nya bangetgk kayak shopeetiktok shop gk smpai sehari udh nyampektokped lamasdh hmpir minggu gk jugaktnya tunggu barang sampaibarang sdh tujuan dana blm
"Coba berkali kali tetap aja ga bisa checkout, terus buat apa ini aplikasi",1,negatif,coba berkali kali aja ga checkout aplikasi
Alikasi tipu2..penguna baru katanya dapet harga 0 mana buktinya..udah beli cek out bayar biaya kirim malah batal otomatis...dasar menjerumuskan penguna..,1,negatif,alikasi tipupenguna dapet harga buktinyaudah beli cek out bayar biaya kirim batal otomatisdasar menjerumuskan penguna
Aplikasinya bagus banyak discount...mantul pokoknya.makasih Tokopedia,5,positif,aplikasinya bagus discountmantul pokoknyamakasih tokopedia
Bagus,5,positif,bagus
optimal,5,positif,optimal
sekarang apk nya banyak. toko penipu. saya kalo belanja pasti di kirim barang rusak. dulu beda walaupun harga mahal barang original. sekarang banyak toko banyak masalah. bikin rugi.,1,negatif,apk nya toko penipu kalo belanja kirim barang rusak beda harga mahal barang original toko bikin rugi
"kok skrg ngga bisa pembatalan pesanan yaa, keterangannya cuma masalah jaringan, padahal jaringan bagus... Anehhh...",1,negatif,skrg ngga pembatalan pesanan yaa keterangannya jaringan jaringan bagus anehhh
Marketplace andalanku,5,positif,marketplace andalanku
sangat memuaskan,5,positif,memuaskan
ada promo tapi beli barang apapun tidak berlaku tapi di tampilan depan harganya terpotong ga paham,1,negatif,promo beli barang apapun berlaku tampilan harganya terpotong ga paham
"Harga berubah mahal, diskonnya hilang",1,negatif,harga berubah mahal diskonnya hilang
saya suka sistem pengiriman nya yg express makasih tokped terus pertahankan,4,positif,suka sistem pengiriman nya yg express makasih tokped pertahankan
oke,5,positif,oke
"udah daftar pengguna baru pertama download daftar ada diskon 50K tanpa minimal belanja ,udah seneng seneng gak bisa dipakai wkwkwk pas mau checkout gak bisa,dasar diskon bohong pajangan doang udah bener gw beli dishope aja",1,negatif,udah daftar pengguna download daftar diskon k minimal belanja udah seneng seneng gak dipakai wkwkwk pas checkout gak bisadasar diskon bohong pajangan doang udah bener gw beli dishope aja
nice app,5,positif,nice app
respon refun cepat,5,positif,respon refun cepat
kembaliin pilihan jasa kirim instan ngga usah pake instan hemat segala beda bahasa aja nyatanya sameday... bikin kecewa ni.,3,netral,kembaliin pilihan jasa kirim instan ngga pake instan hemat beda bahasa aja sameday bikin kecewa ni
"APLIKASI GK JELAS SUMPAH,BERAT POLLL YG LITE SAMA AJA",1,negatif,aplikasi gk sumpahberat polll yg lite aja
"Halo, bagaimana dengan tombol NONAKTIFKAN KONTEN FEED otomatis? saya mencoba belanja sembari mendengarkan musik dan musik sering berhenti jika KONTEN FEED BERPUTAR SENDIRI",2,negatif,halo tombol nonaktifkan konten feed otomatis mencoba belanja sembari mendengarkan musik musik berhenti konten feed berputar
"Pemakaian sehari2, setia d tokopedia",5,positif,pemakaian sehari setia d tokopedia
saya sudah lebih dari 5 kali lakukan pembelian produk ini,5,positif,kali lakukan pembelian produk
"dua kali pakai instant hemat sampainya selalu besoknya, kalau memang jeda satu hari harusnya ganti opsi pengirimannya jangan pakai kata ""instant hemat"", jika tau diawal namanya ""instant"" tapi sampai besok saya akan lebih pilih pakai instant standar",1,negatif,kali pakai instant hemat sampainya besoknya jeda ganti opsi pengirimannya pakai instant hemat tau diawal namanya instant besok pilih pakai instant standar
murah bgt,5,positif,murah bgt
Gooddd TOKOPEDIA TERBAIIKKK,5,positif,gooddd tokopedia terbaiikkk
terimakasih........,5,positif,terimakasih
"pesanan dibatalkan sistem, refund nya lama banget",1,negatif,pesanan dibatalkan sistem refund nya banget
Mantap,5,positif,mantap
ok lh... bg sya pengguna bru...,4,positif,ok lh bg sya pengguna bru
bosok mau co aja tulisannya promo tidak berlaku bosok bosok padahal pengguna baru,1,negatif,bosok co aja tulisannya promo berlaku bosok bosok pengguna
bagus ga suka boongin,5,positif,bagus ga suka boongin
"sebenernya teh bagus, cuma yaa kan aku baru daftar katanya ada promo , nah harganya bener bener jadi murce eh pas di co nggak bisa katanya promo gak berlaku hadeuh, mending gak usah kasi promo dari pada php 🙏",5,positif,sebenernya teh bagus yaa daftar promo harganya bener bener murce eh pas co nggak promo gak berlaku hadeuh mending gak kasi promo php
"sy bru kali ini belanja pakai aplikasi tokopedia.,Insya Allah aplikasi ini bgus,,mkisih...🙏🙏",4,positif,sy bru kali belanja pakai aplikasi tokopediainsya allah aplikasi bgusmkisih
sudah bertahun-tahun pake aplikasi ini. gak tergoda pake yg oren,5,positif,bertahuntahun pake aplikasi gak tergoda pake yg oren
good,5,positif,good
aplikasi pemerasan seperti fiktif.. potongan penjualan sangat besar 20%.. gila.. ada berbagai program yg merugikan penjual tanpa adanya info persetujuan dari seller yg tau tau masuk hitungan potongan.. dan rincian penjualan baru muncul saat resi muncul.. seperti scam penipuan.. klo begini dmn untung umkm sebagai penjual?? gila lo penipuan,1,negatif,aplikasi pemerasan fiktif potongan penjualan gila program yg merugikan penjual info persetujuan seller yg tau tau masuk hitungan potongan rincian penjualan muncul resi muncul scam penipuan klo dmn untung umkm penjual gila lo penipuan
mantap betul,5,positif,mantap
kecewa banget sama Tokopedia padahal udah bayar 150 ribu tapi belum sebulan plusnya udah ilang. baru dipake berapa kali doang. kata aku jangan pada langganan plus deh sayang duitnya. mending aplikasi sebelah,1,negatif,kecewa banget tokopedia udah bayar ribu sebulan plusnya udah ilang dipake kali doang langganan plus deh sayang duitnya mending aplikasi sebelah
lumayan bagus,5,positif,lumayan bagus
"bener gak si belanja 1 brg dapet bonus 500rb mudah""han si bener biar bintang nya full",5,positif,bener gak si belanja brg dapet bonus rb mudahhan si bener biar bintang nya full
tolong dong Tokopedia apa apa pakai voucher gak bisa di akun lainnya alasan nya voucher ini telah di gunakan padahal voucher nya belum di gunakan!!,1,negatif,tolong tokopedia pakai voucher gak akun alasan nya voucher voucher nya
best,5,positif,best
"di app ini sudah bnyak bnget toko yg tidak aktif, jadi buang² waktu banget",1,negatif,app bnyak bnget toko yg aktif buang² banget
bagus,5,positif,bagus
"saya penguna lama .tpi sekarang sudah tidak nyaman pakai aplikasi tokopedia .gara gara pesanan saya dibatalkan penjual .penarikan uang slalu diminta verifikasi data ,udah beberapa kali upload terus diminta verifikasi data .entah seller atau pembeli sama sama merasa dirugikan",1,negatif,penguna tpi nyaman pakai aplikasi tokopedia gara gara pesanan dibatalkan penjual penarikan uang slalu verifikasi data udah kali upload verifikasi data seller pembeli dirugikan
platform e commercial ter baik,5,positif,platform e commercial ter
sering² ada promo ya.. Puas belanja di Tokped.. Terpercaya dari lama.. Makasih..,5,positif,sering² promo ya puas belanja tokped terpercaya makasih
good aplikasi,5,positif,good aplikasi
semoga semakin murah belanja di Tokopedia,5,positif,semoga murah belanja tokopedia
sangat puas dan membantu terimakasih,5,positif,puas membantu terimakasih
"gak jelas. pengguna baru ga dapet diskon sama sekali, ada voucher nya tapi gak bisa di klaim😂 padahal email baru nomor baru",3,netral,gak pengguna ga dapet diskon voucher nya gak klaim email nomor
sangat puas belanja disini,5,positif,puas belanja
sampah nih aplikasi pengguna baru percuma vocer gak bisa di pake tiap co transaksi tidak dapat di proses kan sampah nih aplikasi 👎,1,negatif,sampah nih aplikasi pengguna vocer gak pake co transaksi proses sampah nih aplikasi
good respect.thnks,5,positif,good respectthnks
cool,5,positif,cool
good,5,positif,good
Pengguna baru tapi ga bisa beli,1,negatif,pengguna ga beli
suka banget belanja ditokopedia,5,positif,suka banget belanja ditokopedia
"Mau checkout ga bisa2, emang aneh",1,negatif,checkout ga emang aneh
Ga bisa pesan pakai kupon promo,1,negatif,ga pesan pakai kupon promo
sistem bagus dan barang bagus,5,positif,sistem bagus barang bagus
mantaap reekkk,5,positif,mantaap reekkk
"apk tidak jelas, kita sudah pesan barang trus salah alamat, kita mau minta ganti alamat sudah tidak bisa karena sudah terpacking. dan ini tidak ada no cs nya untuk di hubungi",1,negatif,apk pesan barang trus salah alamat ganti alamat terpacking no cs nya hubungi
pengiriman ny lambat banget,1,negatif,pengiriman ny lambat banget
"LAMA KALI LOH BELANJA DISINI,APK NYA KURENG",1,negatif,kali loh belanja disiniapk nya kureng
ok,5,positif,ok
selalu transaksi tidak bisa di proses heran,1,negatif,transaksi proses heran
"aplikasi bobrok!! mau bayar tagihan selalu gagal. sudah minta bantuan ke cs masih gak ketemu jalannya. sistem ribet,cs nya bodoh dalam memecahkan permasalahan. aplikasi Tokopedia banyak minusnya.",1,negatif,aplikasi bobrok bayar tagihan gagal bantuan cs gak ketemu jalannya sistem ribetcs nya bodoh memecahkan permasalahan aplikasi tokopedia minusnya
